task_family,dataset,backend_group,model,backend,method,method_label,runs,seeds,budget_min,budget_max,best_acc_mean,best_acc_std,final_acc_mean,final_acc_std,stability_drop_mean,stability_drop_std,invalid_answer_rate_mean,avg_staleness_mean,client_gini_mean
real_qwenvl_vqa,path_vqa_closed,real_qwenvl,qwen2_5_vl_3b_qlora,qwen2_5_vl_3b_4bit_lora_generative,fedbuff_async,FedBuff,3,3,2,2,0.625,0.125,0.625,0.125,0.0,0.0,0.0,0.0,0.0
real_qwenvl_vqa,path_vqa_closed,real_qwenvl,qwen2_5_vl_3b_qlora,qwen2_5_vl_3b_4bit_lora_generative,naive_async,Naive Async,3,3,2,2,0.625,0.125,0.625,0.125,0.0,0.0,0.0,0.0,0.0
real_qwenvl_vqa,path_vqa_closed,real_qwenvl,qwen2_5_vl_3b_qlora,qwen2_5_vl_3b_4bit_lora_generative,staleness_async,Staleness,3,3,2,2,0.625,0.125,0.625,0.125,0.0,0.0,0.0,0.0,0.0
real_qwenvl_vqa,path_vqa_closed,real_qwenvl,qwen2_5_vl_3b_qlora,qwen2_5_vl_3b_4bit_lora_generative,sync_fedavg,Sync,3,3,2,2,0.6666666666666666,0.07216878364870323,0.6666666666666666,0.07216878364870323,0.0,0.0,0.0,0.0,
real_qwenvl_vqa,vqa_rad_closed,real_qwenvl,qwen2_5_vl_3b_qlora,qwen2_5_vl_3b_4bit_lora_generative,caa_fedbuff_v2,CAA-v2,3,3,2,2,0.8333333333333334,0.07216878364870322,0.8333333333333334,0.07216878364870322,0.0,0.0,0.0,0.0,0.0
real_qwenvl_vqa,vqa_rad_closed,real_qwenvl,qwen2_5_vl_3b_qlora,qwen2_5_vl_3b_4bit_lora_generative,fedbuff_async,FedBuff,3,3,2,2,0.8333333333333334,0.07216878364870322,0.8333333333333334,0.07216878364870322,0.0,0.0,0.0,0.0,0.0
real_qwenvl_vqa,vqa_rad_closed,real_qwenvl,qwen2_5_vl_3b_qlora,qwen2_5_vl_3b_4bit_lora_generative,naive_async,Naive Async,3,3,2,2,0.875,0.0,0.8333333333333334,0.07216878364870322,0.041666666666666664,0.07216878364870323,0.0,0.0,0.0
real_qwenvl_vqa,vqa_rad_closed,real_qwenvl,qwen2_5_vl_3b_qlora,qwen2_5_vl_3b_4bit_lora_generative,staleness_async,Staleness,3,3,2,2,0.875,0.0,0.8333333333333334,0.07216878364870322,0.041666666666666664,0.07216878364870323,0.0,0.0,0.0
real_qwenvl_vqa,vqa_rad_closed,real_qwenvl,qwen2_5_vl_3b_qlora,qwen2_5_vl_3b_4bit_lora_generative,sync_fedavg,Sync,3,3,2,2,0.8333333333333334,0.14433756729740643,0.8333333333333334,0.14433756729740643,0.0,0.0,0.0,0.0,
text_mcqa,medmcqa,text_llm,qwen_text_0_5b_lora,qwen_text_0_5b_lora,caa_fedbuff_v2,CAA-v2,4,4,100,100,0.35124999999999995,0.003500000000000011,0.326,0.012355835328567103,0.025249999999999967,0.011295279249904961,0.0,1.5125,0.20399999999999996
